-96.89113, 32.66162, Denny's, USA-United States
-75.30468, 39.86708, Denny's, USA-United States
-112.05111, 43.50282, Denny's, USA-United States
-111.96979, 41.24347, Denny's, USA-United States
-88.02139, 42.13898, Denny's, USA-United States
-80.86756, 40.07535, Denny's, USA-United States
-121.38296, 38.64696, Denny's, USA-United States
-81.32756, 31.93068, Denny's, USA-United States
-99.14501, 30.04304, Denny's, USA-United States
-87.90990, 42.95514, Denny's, USA-United States
-117.66978, 35.62279, Denny's, USA-United States
-122.34671, 47.77794, Denny's, USA-United States
-95.63274, 30.08955, Denny's, USA-United States
-122.21461, 37.48697, Denny's, USA-United States
-82.73402, 28.01259, Denny's, USA-United States
-122.21695, 47.79080, Denny's, USA-United States
-98.00642, 26.17313, Denny's, USA-United States
-118.60672, 34.17209, Denny's, USA-United States
-122.99698, 44.91989, Denny's, USA-United States
-122.32893, 47.57907, Denny's, USA-United States
-121.91344, 37.42637, Denny's, USA-United States
-89.92641, 38.58840, Denny's, USA-United States
-122.30652, 47.31525, Denny's, USA-United States
-82.10438, 34.91123, Denny's, USA-United States
-80.11209, 26.35119, Denny's, USA-United States
-120.68634, 35.64195, Denny's, USA-United States
-82.37586, 27.71212, Denny's, USA-United States
-117.07558, 33.02759, Denny's, USA-United States
-96.89644, 32.88127, Denny's, USA-United States
-95.56409, 29.56547, Denny's, USA-United States
-119.78918, 36.83769, Denny's, USA-United States
-105.13213, 39.72426, Denny's, USA-United States
-117.88123, 33.91096, Denny's, USA-United States
-95.84623, 36.14778, Denny's, USA-United States
-115.13703, 36.13403, Denny's, USA-United States
-117.94134, 33.83098, Denny's, USA-United States
-78.68636, 33.82327, Denny's, USA-United States
-88.99577, 40.53033, Denny's, USA-United States
-122.21697, 47.48229, Denny's, USA-United States
-117.20514, 32.75523, Denny's, USA-United States
-97.27407, 32.66095, Denny's, USA-United States
-86.12090, 39.71441, Denny's, USA-United States
-118.12609, 34.03264, Denny's, USA-United States
-80.29143, 25.88995, Denny's, USA-United States
-117.56259, 33.90154, Denny's, USA-United States
-122.34694, 47.74157, Denny's, USA-United States
-121.86144, 36.59654, Denny's, USA-United States
-81.41397, 29.91784, Denny's, USA-United States
-79.75220, 40.59232, Denny's, USA-United States
-80.22629, 26.16455, Denny's, USA-United States
-88.10314, 41.89381, Denny's, USA-United States
-122.19597, 47.53369, Denny's, USA-United States
-81.90897, 41.42094, Denny's, USA-United States
-117.13827, 32.75505, Denny's, USA-United States
-77.51811, 38.29409, Denny's, USA-United States
-80.09549, 26.70682, Denny's, USA-United States
-74.55705, 39.38766, Denny's, USA-United States
-94.79639, 39.77685, Denny's, USA-United States
-76.54492, 39.39913, Denny's, USA-United States
-117.91912, 33.68563, Denny's, USA-United States
-82.23336, 28.52335, Denny's, USA-United States
-121.29401, 37.81012, Denny's, USA-United States
-76.93874, 38.89106, Denny's, USA-United States
-97.40917, 32.81473, Denny's, USA-United States
-95.69567, 29.97296, Denny's, USA-United States
-75.65382, 41.46275, Denny's, USA-United States
-80.16499, 26.03411, Denny's, USA-United States
-118.13546, 33.90392, Denny's, USA-United States
-117.07958, 32.66126, Denny's, USA-United States
-78.69671, 43.14849, Denny's, USA-United States
-118.57213, 34.17070, Denny's, USA-United States
-99.62993, 32.43639, Denny's, USA-United States
-111.92629, 33.58052, Denny's, USA-United States
-82.71726, 28.28100, Denny's, USA-United States
-97.73029, 30.27613, Denny's, USA-United States
-98.47601, 29.51931, Denny's, USA-United States
-105.96047, 32.88137, Denny's, USA-United States
-97.63230, 27.84320, Denny's, USA-United States
-94.66783, 38.93899, Denny's, USA-United States
-80.07192, 26.69101, Denny's, USA-United States
-118.03089, 34.14018, Denny's, USA-United States
-117.18288, 34.05717, Denny's, USA-United States
-72.44486, 41.28992, Denny's, USA-United States
-116.90136, 32.82630, Denny's, USA-United States
-118.44739, 34.20133, Denny's, USA-United States
-79.84287, 40.13762, Denny's, USA-United States
-116.94519, 33.92762, Denny's, USA-United States
-122.28497, 37.54578, Denny's, USA-United States
-118.39514, 37.37157, Denny's, USA-United States
-78.97285, 33.62116, Denny's, USA-United States
-115.21002, 36.10064, Denny's, USA-United States
-121.65440, 37.15197, Denny's, USA-United States
-95.41117, 29.92995, Denny's, USA-United States
-69.79237, 44.33819, Denny's, USA-United States
-121.96835, 38.36299, Denny's, USA-United States
-80.39306, 25.68586, Denny's, USA-United States
-122.29616, 47.44824, Denny's, USA-United States
-80.20766, 26.00707, Denny's, USA-United States
-94.29832, 37.48785, Denny's, USA-United States
