-119.75654, 39.43965, Chevron, USA-(NV) Reno, 735 S Meadows Pkwy
-110.82337, 39.60136, Chevron, USA-(UT) Price, 126 N Carbonville Rd
-113.07771, 37.68114, Chevron, USA-(UT) Cedar City, 1100 W 200 N
-115.18586, 36.08668, Chevron, USA-(NV) Las Vegas, 3440 W Russell Rd
-115.27932, 36.12555, Chevron, USA-(NV) Las Vegas, 8635 W Spring Mountain Rd
-115.02670, 36.19602, Chevron, USA-(NV) Las Vegas, 6680 E Lake Mead Blvd
-112.32464, 38.99425, Chevron, USA-(UT) Fillmore, 1155 Cedar Mountain Rd
-112.20188, 41.71131, Chevron, USA-(UT) Tremonton, 2410 W Main St
-119.74097, 39.52115, Chevron, USA-(NV) Sparks, 187 E Greg St
-116.10592, 40.72033, Chevron, USA-(NV) Carlin, 1014 Fir St
-115.13418, 36.01297, Chevron, USA-(NV) Las Vegas, 1343 E Silverado Ranch Blvd
-115.31327, 36.15846, Chevron, USA-(NV) Las Vegas, 9991 W Charleston Blvd
-111.95756, 40.74001, Chevron, USA-(UT) Salt Lake City, 1345 S Pioneer Rd
-109.98377, 40.30244, Chevron, USA-(UT) Roosevelt, 500 E 200 N
-119.78251, 39.55584, Chevron, USA-(NV) Reno, 2885 Northtowne Ln
-115.19928, 36.20248, Chevron, USA-(NV) Las Vegas, 2395 N Rancho Rd
-109.98855, 40.29652, Chevron, USA-(UT) Roosevelt, 201 S 200 E
-117.74709, 40.95912, Chevron, USA-(NV) Winnemucca, 1927 W Winnemucca Blvd
-111.47374, 40.51193, Chevron, USA-(UT) Midway, 51 W Main St
-111.65869, 40.31355, Chevron, USA-(UT) Orem, 1565 E 800 N
-119.78102, 39.53531, Chevron, USA-(NV) Reno, 2799 E 4th St
-111.93976, 40.77190, Chevron, USA-(UT) Salt Lake City, 1704 W N Temple
-111.98707, 40.66718, Chevron, USA-(UT) Salt Lake City, 4710 S 4000 W
-111.70205, 40.31150, Chevron, USA-(UT) Orem, 777 N State St
-111.96729, 40.69630, Chevron, USA-(UT) West Valley City, 3189 W 3500 S
-111.90006, 40.86185, Chevron, USA-(UT) Woods Cross, 742 W 2600 S
-115.01269, 36.06559, Chevron, USA-(NV) Henderson, 220 W Sunset Rd
-111.89927, 40.78279, Chevron, USA-(UT) Salt Lake City, 610 N 300 W
-111.70867, 40.32701, Chevron, USA-(UT) Orem, 1613 N State St
-111.89300, 40.89362, Chevron, USA-(UT) Bountiful, 391 N 500 W
-112.00638, 40.68171, Chevron, USA-(UT) West Valley City, 4825 W 4100 S
