-121.94961, 37.50978, REI, USA-Fremont, 43962 Fremont Blvd
-71.10295, 42.34374, REI, USA-Boston, 401 Park Dr
-121.31705, 38.00208, REI, USA-Stockton, 5757 Pacific Ave A105 (Stone Creek Village Shopping Center)
-105.07738, 40.53217, REI, USA-Fort Collins, 4025 S College Ave
-122.68553, 45.52874, REI, USA-Portland, 1405 NW Johnson St.
-105.00964, 39.75602, REI, USA-Denver, 1416 Platte St
-96.83181, 32.92654, REI, USA-Dallas, 4515 LBJ Fwy
-95.50164, 29.73774, REI, USA-Houston, 7538 Westheimer Rd
-122.71367, 38.41133, REI, USA-Santa Rosa, 2715 Santa Rosa Ave
-88.07321, 43.08944, REI, USA-Brookfield, 13100 W Capitol Dr
-122.47056, 48.73099, REI, USA-Bellingham, 400 36th St
-83.99467, 34.06176, REI, USA-Buford, 1600 Mall of Georgia Blvd (Marketplace at Millcreek)
-122.46842, 47.22219, REI, USA-Tacoma, 3825 S Steele St
-71.39525, 42.30513, REI, USA-Framingham, 375 Cochituate Rd
-122.40427, 37.77241, REI, USA-San Francisco, 840 Brannan St
-108.56192, 39.07764, REI, USA-Grand Junction, 644 North Ave
-79.96614, 40.42806, REI, USA-Pittsburgh, 412 S. 27th Street
-121.99385, 37.28889, REI, USA-San Jose, 400 El Paseo de Saratoga
-93.18262, 45.01512, REI, USA-Roseville, 1955 County Rd B2 W
-122.27357, 47.83175, REI, USA-Lynnwood, 3000 184th St SW Ste 952
-122.29573, 37.87974, REI, USA-Berkeley, 1338 San Pablo Ave
-77.12399, 38.84863, REI, USA-Bailey's Crossroads, 3509 Carlin Springs Rd
-116.28553, 43.61144, REI, USA-Boise, 8300 W Emerald St
-78.64547, 35.83600, REI, USA-Raleigh, 4291 The Circle at North Hills
-121.26543, 38.77184, REI, USA-Roseville, 1148 Galleria Blvd
-122.87739, 45.53696, REI, USA-Hillsboro, 2235 NW Allie Avenue
