-73.93641, 40.82021, 145th Street Subway Station (IRT), TBD
-72.60723, 43.17197, Grafton Post Office, TBD
-73.08807, 43.79758, Brandon Village Historic District, TBD
-76.85201, 41.02029, Milton Freight Station, TBD
-73.95196, 40.81156, Public School 157, TBD
-73.93870, 41.38025, Garrison Union Free School, TBD
-73.45440, 40.89595, Karpen House, TBD
-71.53620, 42.62226, Bennett-Shattuck House, TBD
-75.05379, 39.79061, Solomon Wesley United Methodist Church, TBD
-74.18450, 42.93768, Green Hill Cemetery, TBD
-74.03119, 40.94861, Cooper, Thunise && Richard, House, TBD
-74.06500, 40.98242, Seven Chimneys, TBD
-74.06500, 40.98242, Zabriskie, Nicholas, House, TBD
-71.83022, 41.37760, US Post Office, TBD
-71.08879, 42.50073, House at 32 Morrison Road, TBD
-74.46486, 44.22452, Joseph, Beth, Synagogue, TBD
-75.21746, 40.12472, Hope Lodge, TBD
-76.04646, 41.61395, Old White Mill, TBD
-71.36450, 41.98506, Angle Tree Stone, TBD
-71.80719, 42.26730, Hastins, John, Cottage, TBD
-71.58783, 42.73947, Meetinghouse, The, TBD
-76.49794, 42.44158, De Witt Park Historic District, TBD
-71.23059, 42.37616, Holbrook, Richard, Houses, TBD
-73.79883, 40.70374, Jamaica Savings Bank, TBD
-71.57852, 42.02780, Main Street Historic District, TBD
-69.07406, 44.18553, Rockport Historic District, TBD
-76.03088, 40.45855, Bellman&&aposs Union Church, TBD
-74.16573, 41.04488, Van Gelder, Abraham, House, TBD
-75.20529, 40.08243, Welsh, John, House, TBD
-73.87990, 40.86941, 52nd Police Precinct Station House and Stable, TBD
-70.71346, 41.75664, Tobey Homestead, TBD
-73.96509, 40.66085, Boathouse on the Lullwater of the Lake in Prospect Park, TBD
-69.78540, 43.78652, Perkins Island Light Station, TBD
-70.64352, 44.96456, Rangley Public Library, TBD
-73.15876, 41.62900, Skilton Road Bridge, TBD
-71.20865, 41.71075, Anthony, David M., House, TBD
-72.60705, 43.17187, Grafton Distric Schoolhouse No. 2, TBD
-71.09248, 42.39366, House at 35 Temple Street, TBD
-76.57999, 40.07253, Grove Mansion, TBD
-67.20019, 45.16470, Jellison, Theodore, House, TBD
-74.55813, 42.40983, South Gilboa Railroad Station, TBD
-74.03158, 40.91359, Steuben Estate Complex, TBD
-72.92507, 41.59900, Wightman, Rev. John, House, TBD
-71.39133, 41.97928, Arnold Mills Historic District, TBD
-70.79888, 42.65106, Titcomb, Benaiah, House, TBD
-74.17904, 40.72632, Lincoln Park Historic District, TBD
-71.25366, 42.28016, Tolman-Gay House, TBD
-75.78540, 42.65104, Newton Homestead, TBD
-72.61120, 42.14479, Cabotville Common Historic District, TBD
-76.62570, 39.75964, Ridge Road Bridge, Stewartstown Railroad, TBD
-72.01009, 44.54182, Bradley Covered Bridge, TBD
-75.71475, 39.81920, Gregg, Joseph, House, TBD
-76.13700, 43.03838, Crouse College, Syracuse University, TBD
-75.15129, 39.93946, Meredith, William M., School, TBD
-75.05841, 41.76653, Callicoon National Bank, TBD
-68.83104, 44.04731, Webster, Moses, House, TBD
-74.34105, 39.60313, Little Egg Harbor Friends Meeting House, TBD
-73.95527, 40.81985, IRT Broadway Line Viaduct, TBD
-70.40242, 43.78641, Goold House, TBD
-70.80678, 42.56402, Holmes, Oliver Wendell, House, TBD
-74.16946, 40.76015, Protestant Foster Home, TBD
-75.74309, 40.53493, Hottenstein Mansion, TBD
-72.67780, 41.28257, Burgis II, Thomas, House, TBD
-71.22544, 42.33895, Crimmins, Thomas A., House, TBD
-71.12134, 42.37377, Brattle Hall, TBD
-71.75642, 44.29246, Burt-Cheney Farm, TBD
-75.01356, 40.69794, Asbury Historic District, TBD
-69.77375, 44.31636, Adams, D. V., Co.-Bussell and Weston, TBD
-71.18577, 42.34816, Hyde Avenue Historic District, TBD
-76.79073, 42.90956, Bloomer, Amelia, House, TBD
-72.58583, 42.10015, Bangs Block, TBD
-72.58580, 42.10012, Burbach Block, TBD
-72.58461, 42.09893, Mills-Hale-Owen Blocks, TBD
-79.89420, 40.86079, Butler Historic District, TBD
-76.29846, 40.04342, McGovern, Edward, Tobacco Warehouse, TBD
-70.30636, 43.63713, State Reform School Historic District, TBD
-73.38204, 40.86268, Ireland-Gardiner Farm, TBD
-71.79502, 42.24209, Upsala Street School, TBD
-71.00608, 42.25484, Woodward Institute, TBD
-70.97172, 44.01265, Church of the New Jerusalem, TBD
-68.91615, 44.45849, McGilvery, Capt. John, House, TBD
-71.14732, 42.43106, Mystic Gatehouse, TBD
-71.00590, 42.24238, Nightengale House, TBD
-71.17866, 42.12428, Sharon Historic District, TBD
-71.13125, 42.37652, Hubbard Park Historic District, TBD
-70.83705, 42.67937, Wilson, Shoreborne, House, TBD
-80.24976, 40.68171, Vicary, Capt. William, House, TBD
-76.24049, 44.15786, Chevalier, Xavier, House, TBD
-71.14287, 41.72431, Sagamore Mill No. 2, TBD
-71.17711, 41.69330, Chase&&aposs, Oliver, Thread Mill, TBD
-72.53733, 43.45549, Reading Town Hall, TBD
-71.29844, 41.46961, Breakers, The, TBD
-71.07197, 42.32363, Shirley-Eustis House, TBD
-71.00781, 42.25301, House at 105 President&&aposs Lane, TBD
-72.15137, 41.70012, March Route of Rochambeau&&aposs Army: Scotland Road, TBD
-71.20590, 41.70957, Colony Historic District, TBD
-74.19610, 40.85179, Von Schmid House, TBD
-75.16702, 39.99525, Dobbins, Murrell, Vocational School, TBD
-72.04980, 42.06201, Wells, George B. and Ruth D., House, TBD
-70.94681, 42.98066, Dudley House, TBD
-71.36141, 41.77676, Whitcomb Farm, TBD
-69.75405, 44.19768, Colburn House State Historic Site, TBD
-73.24550, 40.72334, Bay Shore Methodist Episcopal Church, TBD
-75.60455, 40.00884, Rush, Benjamin, House, TBD
-71.07934, 42.25334, Milton Centre Historic District, TBD
-72.11348, 43.33304, Williamson House, TBD
-73.92608, 41.70269, Luckey, Platt && Company Department Store, TBD
-74.50010, 39.41973, Babcock, Capt. Francis, House, TBD
-70.87449, 42.55249, Beverly Grammar School, TBD
-71.53886, 43.21686, Page Belting Company Mills, TBD
-79.52256, 40.45730, Slickville Historic District, TBD
-74.18845, 41.81105, Stilwell Stone House, TBD
-74.76478, 40.22560, Trenton Battle Monument, TBD
-71.22101, 42.22999, Colburn School-High Street Historic District, TBD
-74.06766, 41.18531, Ladentown United Methodist Church, TBD
-67.11097, 45.08440, Brewer, Henrietta, House, TBD
-73.94690, 41.37619, Wilson House, TBD
-69.76948, 44.30162, Maine Insane Hospital, TBD
-71.79355, 42.25365, Murphy, Patrick, Three-Decker, TBD
-70.35925, 44.02882, Poland Spring Bottling Plant and Spring House, TBD
-75.87967, 40.55457, Dreibelbis Station Bridge, TBD
-73.86756, 41.90045, Pultz Farmhouse, TBD
-72.80398, 41.87068, Simsbury Townhouse, TBD
-71.64547, 42.03935, Southwick, Elisha, House, TBD
-71.19863, 42.06428, Pratt, Capt. Josiah, House, TBD
-76.05808, 40.24244, Kagerise Store and House, TBD
-76.44762, 40.95169, Hollingshead Covered Bridge No. 40, TBD
-70.28348, 41.65146, Municipal Group Historic District, TBD
-80.14833, 41.71860, Saeger, Edward, House, TBD
-70.89749, 42.52281, Federal Street District, TBD
-71.81008, 42.24399, Cambridge Street School, TBD
-70.56451, 43.43203, Smith, James, Homestead, TBD
-70.26777, 44.40934, Nelson Family Farm, TBD
-70.92249, 42.21503, Washington School, TBD
-72.67279, 44.92068, Hopkins Covered Bridge, TBD
-75.00465, 39.91086, Bonnie&&aposs Bridge, TBD
-71.70973, 41.57675, Baptist Church in Exeter, TBD
-72.06839, 42.55580, Templeton Common Historic District, TBD
-71.17803, 42.42542, Old Schwamb Mill, TBD
-78.52580, 43.24630, Harrington Colbblestone Farmhouse and Barn Complex, TBD
-76.20553, 40.26535, Furnace Hills Tenant House, TBD
-73.44162, 41.96395, Lakeville Historic District, TBD
-72.48579, 41.00812, Old House, The, TBD
-73.53505, 43.92122, Ironville Historic District, TBD
-77.03353, 42.86234, Barron, Thomas, House, TBD
-75.31345, 40.02626, Bryn Mawr College Historic District, TBD
-71.11424, 42.51868, Bassett, Edwin, House, TBD
-75.03748, 43.01460, US Post Office-Ilion, TBD
-71.15225, 42.41539, Russell Common, TBD
-79.89111, 40.06336, Fleming, Molly, House, TBD
-71.11502, 42.37069, Reversible Collar Company Building, TBD
-71.77017, 44.30589, Lane, Edward H., House, TBD
-75.17325, 39.97358, Founder&&aposs Hall, Girard College, TBD
-70.61867, 43.34547, Austin-Hennessey Homestead, TBD
-74.52259, 40.67935, Boyle/Hudspeth-Benson House, TBD
-75.11592, 44.55844, Brick Chapel Church and Cemetery, TBD
-73.97419, 40.68507, Hanson Place Seventh Day Adventist Church, TBD
-75.21410, 40.05915, Druim Moir Historic District, TBD
-71.51040, 41.61744, Tillinghast Road Historic District, TBD
-79.91203, 39.79334, Greensboro Public School, TBD
-70.94950, 42.46327, Lynn Masonic Hall, TBD
-72.08415, 41.83911, Natchaug Forest Lumber Shed, TBD
-72.94037, 41.67487, Beleden House, TBD
-74.03883, 40.73691, Engine House No. 3, Truck No. 2, TBD
-75.54468, 42.74022, Earlville Historic District, TBD
-71.11889, 42.38442, Saunders, William, House, TBD
-70.03400, 44.24092, Cumston Hall, TBD
-71.71610, 41.50555, Hope Valley Historic District, TBD
-72.21638, 41.34975, Avery, Thomas, House, TBD
-73.88665, 40.75139, Jackson Heights Historic District, TBD
-71.10307, 42.12380, Stoughton Railroad Station, TBD
-71.13890, 41.69605, Stafford Mills, TBD
-71.33784, 42.23108, Assington, TBD
-73.96064, 40.80739, Philosophy Hall, TBD
-74.00936, 40.71256, St. Peter&&aposs Roman Catholic Church, TBD
-71.80561, 42.26630, Dean, Frank L. and Mabel H., House, TBD
-72.37788, 41.32438, Parker House, TBD
-73.91592, 41.03721, Sparkill Creek Drawbridge, TBD
-73.50315, 40.87711, Swan, Edward H., House, TBD
-73.92543, 41.69673, South Hamilton Street Row, TBD
-71.56870, 41.17641, US Weather Bureau Station, TBD
-72.99028, 43.43608, Hager Farm, TBD
-75.20345, 40.07448, Jenks, John Story, School, TBD
-73.53154, 40.87217, Raynham Hall, TBD
-71.11193, 42.37364, Cambridge Public Library, TBD
-74.00990, 40.74981, FRYING PAN SHOALS LIGHTSHIP NO. 115 (lightship), TBD
-73.76306, 42.69287, Humphrey, Friend, House, TBD
-69.81208, 43.92654, SEQUIN (tugboat), TBD
-72.45217, 41.40685, Old Town Hall, TBD
-71.70505, 42.23691, Allen, Ethan, House and Gun Shop, TBD
-74.95748, 40.37009, Rhoads Homestead, TBD
-70.38893, 41.70181, Adams-Crocker-Fish House, TBD
-74.19699, 40.94366, Ailsa Farms, TBD
-80.00862, 40.45519, Allegheny High School, TBD
-75.82721, 39.98395, High Bridge, TBD
-75.27119, 39.73566, Butler Farm, TBD
-74.16397, 40.73280, Second Reformed Dutch Church, TBD
-74.01034, 40.70411, Stone Street Historic District, TBD
-69.75765, 43.70864, Seguin Island Light Station, TBD
-72.77783, 41.67186, Tephereth Israel Synagogue, TBD
-77.34353, 42.17582, Town Linke Church and Cemetery, TBD
-75.21346, 40.08861, Yeakle and Miller Houses, TBD
-71.81922, 42.25183, Reed, Frank, Three-Decker, TBD
-71.12802, 42.37811, Birkhoff, George D., House, TBD
-71.08634, 42.33643, Lower Roxbury Historic District, TBD
-72.10395, 41.35834, Harris, Jonathan Newton, House, TBD
-72.09930, 41.35369, Huntington Street Baptist Church, TBD
-71.17347, 42.77538, House at 136 Hampstead Street, TBD
-73.12595, 41.80236, Water Street Historic District, TBD
-73.30993, 41.41513, Glover House, TBD
-74.01177, 40.87599, Brinkerhoff-Demarest House, TBD
-72.60762, 41.71257, Welles, Gideon, House, TBD
-80.23745, 40.17046, Sackville House, TBD
